"filename", "language", "C#", "XML", "GDResource", "GDScene", "Properties", "GDScript", "comment", "blank", "total"
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\BgMove.cs", "C#", 13, 0, 0, 0, 0, 0, 2, 5, 20
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\ControllerCamera.cs", "C#", 52, 0, 0, 0, 0, 0, 0, 12, 64
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Diplom17.11.2023.csproj", "XML", 0, 7, 0, 0, 0, 0, 0, 0, 7
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\EnemyBaseNew.cs", "C#", 78, 0, 0, 0, 0, 0, 6, 29, 113
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\EnemyBaseNew.tscn", "GDScene", 0, 0, 0, 33, 0, 0, 0, 11, 44
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Enemy\BaseEnemy\BaseEnemy.cs", "C#", 49, 0, 0, 0, 0, 0, 0, 12, 61
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Enemy\BaseEnemy\EnemyBaseUnit.cs", "C#", 129, 0, 0, 0, 0, 0, 10, 34, 173
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Enemy\BaseEnemy\base_enemy.tscn", "GDScene", 0, 0, 0, 23, 0, 0, 0, 11, 34
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Enemy\BaseEnemy\house.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Enemy\EnemyUnits\EnemyAxePlayer.cs", "C#", 26, 0, 0, 0, 0, 0, 0, 8, 34
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Enemy\EnemyUnits\enemy_axe_player.tscn", "GDScene", 0, 0, 0, 203, 0, 0, 0, 36, 239
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\BasePlayer\BasePlayer.cs", "C#", 47, 0, 0, 0, 0, 0, 4, 14, 65
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\BasePlayer\BasePlayer.tscn", "GDScene", 0, 0, 0, 14, 0, 0, 0, 8, 22
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\BaseUnit.cs", "C#", 120, 0, 0, 0, 0, 0, 26, 29, 175
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\LabelHP.cs", "C#", 12, 0, 0, 0, 0, 0, 2, 3, 17
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\Mobs\SwordPerson.tscn", "GDScene", 0, 0, 0, 203, 0, 0, 0, 36, 239
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\Mobs\SwordUnit.cs", "C#", 22, 0, 0, 0, 0, 0, 0, 3, 25
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\MoneyBase.cs", "C#", 12, 0, 0, 0, 0, 0, 2, 3, 17
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\Persons\GraveRobber\GraveRobber.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\Persons\GraveRobber\GraveRobber_attack1.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\Persons\GraveRobber\GraveRobber_attack2.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\Persons\GraveRobber\GraveRobber_attack3.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\Persons\GraveRobber\GraveRobber_climb.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\Persons\GraveRobber\GraveRobber_craft.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\Persons\GraveRobber\GraveRobber_death.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\Persons\GraveRobber\GraveRobber_hurt.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\Persons\GraveRobber\GraveRobber_idle.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\Persons\GraveRobber\GraveRobber_jump.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\Persons\GraveRobber\GraveRobber_push.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\Persons\GraveRobber\GraveRobber_run.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\Persons\GraveRobber\GraveRobber_walk.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\Persons\SteamMan\SteamMan.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\Persons\SteamMan\SteamMan_attack1.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\Persons\SteamMan\SteamMan_attack2.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\Persons\SteamMan\SteamMan_attack3.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\Persons\SteamMan\SteamMan_climb.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\Persons\SteamMan\SteamMan_craft.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Simple2dPlatformerSurvival-main\Defense-Of-The-Fortress\Player\Persons\SteamMan\SteamMan_death.png.import", "GDResource", 0, 0, 29, 0, 0, 0, 0, 6, 35
